,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
335,17,0.9078,speed,,,a,data_S13.csv,0.0
336,18,3.3829,speed,5.0,right,v,data_S13.csv,0.0
337,19,0.1652,speed,,,t0,data_S13.csv,0.0
338,20,0.4919,speed,,,szr,data_S13.csv,0.0
339,21,0.8965,speed,1.0,right,v,data_S13.csv,0.0
340,22,2.6714,speed,3.0,right,v,data_S13.csv,0.0
341,23,4.4893,speed,4.0,right,v,data_S13.csv,0.0
342,24,0.9059,speed,1.0,left,v,data_S13.csv,0.0
343,25,-2.0001,speed,4.0,left,v,data_S13.csv,0.0
344,26,-3.4318,speed,5.0,left,v,data_S13.csv,0.0
345,27,1.421,speed,2.0,right,v,data_S13.csv,0.0
346,28,0.4031,speed,2.0,left,v,data_S13.csv,0.0
347,29,-0.5392,speed,3.0,left,v,data_S13.csv,0.0
348,1,0.5,,,,zr,data_S14.csv,0.0
349,2,0.9654,speed,,,a,data_S14.csv,0.0
350,3,-3.2335,speed,5.0,left,v,data_S14.csv,0.0
351,4,0.1566,speed,,,t0,data_S14.csv,0.0
352,5,0.4448,speed,,,szr,data_S14.csv,0.0
353,6,0.5765,,,,sv,data_S14.csv,0.0
354,7,0.1276,,,,st0,data_S14.csv,0.0
355,8,3.4602,speed,4.0,right,v,data_S14.csv,0.0
356,9,0.547,speed,2.0,right,v,data_S14.csv,0.0
357,10,0.7827,speed,3.0,right,v,data_S14.csv,0.0
358,11,-0.7021,speed,1.0,left,v,data_S14.csv,0.0
359,12,4.2351,speed,5.0,right,v,data_S14.csv,0.0
360,13,-0.7979,speed,2.0,left,v,data_S14.csv,0.0
361,14,-2.7636,speed,3.0,left,v,data_S14.csv,0.0
362,15,0.1453,speed,1.0,right,v,data_S14.csv,0.0
363,16,-2.641,speed,4.0,left,v,data_S14.csv,0.0
364,17,1.1855,accuracy,,,a,data_S14.csv,0.0
365,18,-0.6521,accuracy,2.0,left,v,data_S14.csv,0.0
366,19,0.2428,accuracy,,,t0,data_S14.csv,0.0
367,20,0.3654,accuracy,,,szr,data_S14.csv,0.0
368,21,-4.1746,accuracy,4.0,left,v,data_S14.csv,0.0
369,22,0.8585,accuracy,2.0,right,v,data_S14.csv,0.0
370,23,1.7066,accuracy,3.0,right,v,data_S14.csv,0.0
371,24,-6.3897,accuracy,5.0,left,v,data_S14.csv,0.0
372,25,-1.8631,accuracy,3.0,left,v,data_S14.csv,0.0
373,26,0.427,accuracy,1.0,right,v,data_S14.csv,0.0
374,27,-0.1269,accuracy,1.0,left,v,data_S14.csv,0.0
375,28,5.3584,accuracy,5.0,right,v,data_S14.csv,0.0
