,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
264,25,3.6338,accuracy,4.0,right,v,data_S2.csv,0.0
265,26,-2.7259,accuracy,3.0,left,v,data_S2.csv,0.0
266,27,-0.1617,accuracy,2.0,left,v,data_S2.csv,0.0
267,28,0.5757,accuracy,1.0,right,v,data_S2.csv,0.0
268,29,-0.2427,accuracy,1.0,left,v,data_S2.csv,0.0
269,30,-4.5001,accuracy,5.0,left,v,data_S2.csv,0.0
270,1,0.5,,,,zr,data_S4.csv,0.0004
271,2,1.0145,speed,,,a,data_S4.csv,0.0004
272,3,5.9027,speed,4.0,right,v,data_S4.csv,0.0004
273,4,0.2639,speed,,,t0,data_S4.csv,0.0004
274,5,0.0142,,,,d,data_S4.csv,0.0004
275,6,0.2223,speed,,,szr,data_S4.csv,0.0004
276,7,0.7183,,,,sv,data_S4.csv,0.0004
277,8,0.0226,,,,st0,data_S4.csv,0.0004
278,9,-6.1092,speed,5.0,left,v,data_S4.csv,0.0004
279,10,0.7596,speed,1.0,right,v,data_S4.csv,0.0004
280,11,-4.0564,speed,4.0,left,v,data_S4.csv,0.0004
281,12,7.2574,speed,5.0,right,v,data_S4.csv,0.0004
282,13,-2.3324,speed,3.0,left,v,data_S4.csv,0.0004
283,14,-0.718,speed,2.0,left,v,data_S4.csv,0.0004
284,15,0.1055,speed,1.0,left,v,data_S4.csv,0.0004
285,16,3.2142,speed,3.0,right,v,data_S4.csv,0.0004
286,17,1.7009,speed,2.0,right,v,data_S4.csv,0.0004
287,18,1.2781,accuracy,,,a,data_S4.csv,0.0004
288,19,5.1574,accuracy,5.0,right,v,data_S4.csv,0.0004
289,20,0.2649,accuracy,,,t0,data_S4.csv,0.0004
290,21,0.0661,accuracy,,,szr,data_S4.csv,0.0004
291,22,3.0814,accuracy,3.0,right,v,data_S4.csv,0.0004
292,23,-3.953,accuracy,4.0,left,v,data_S4.csv,0.0004
293,24,1.0626,accuracy,2.0,right,v,data_S4.csv,0.0004
294,25,-4.917,accuracy,5.0,left,v,data_S4.csv,0.0004
295,26,0.07,accuracy,1.0,left,v,data_S4.csv,0.0004
296,27,0.6341,accuracy,1.0,right,v,data_S4.csv,0.0004
297,28,-0.0066,accuracy,2.0,left,v,data_S4.csv,0.0004
298,29,4.215,accuracy,4.0,right,v,data_S4.csv,0.0004
299,30,-2.4115,accuracy,3.0,left,v,data_S4.csv,0.0004
300,1,0.464,,,,zr,data_S1.csv,0.0001
301,2,0.9061,accuracy,,,a,data_S1.csv,0.0001
302,3,7.5598,accuracy,5.0,right,v,data_S1.csv,0.0001
303,4,0.3585,accuracy,,,t0,data_S1.csv,0.0001
304,5,0.0239,,,,d,data_S1.csv,0.0001
305,6,0.0001,accuracy,,,szr,data_S1.csv,0.0001
306,7,0.5261,,,,sv,data_S1.csv,0.0001
307,8,0.0674,,,,st0,data_S1.csv,0.0001
308,9,0.3549,accuracy,2.0,left,v,data_S1.csv,0.0001
309,10,-3.6363,accuracy,4.0,left,v,data_S1.csv,0.0001
310,11,-6.7059,accuracy,5.0,left,v,data_S1.csv,0.0001
311,12,4.69,accuracy,4.0,right,v,data_S1.csv,0.0001
312,13,3.1762,accuracy,3.0,right,v,data_S1.csv,0.0001
313,14,0.5028,accuracy,1.0,left,v,data_S1.csv,0.0001
314,15,1.667,accuracy,2.0,right,v,data_S1.csv,0.0001
315,16,-1.7047,accuracy,3.0,left,v,data_S1.csv,0.0001
316,17,1.9128,accuracy,1.0,right,v,data_S1.csv,0.0001
317,18,0.7389,speed,,,a,data_S1.csv,0.0001
318,19,-0.3509,speed,3.0,left,v,data_S1.csv,0.0001
319,20,0.2922,speed,,,t0,data_S1.csv,0.0001
320,21,0.3698,speed,,,szr,data_S1.csv,0.0001
321,22,2.0425,speed,2.0,right,v,data_S1.csv,0.0001
322,23,6.025,speed,5.0,right,v,data_S1.csv,0.0001
323,24,1.089,speed,1.0,left,v,data_S1.csv,0.0001
324,25,1.1671,speed,2.0,left,v,data_S1.csv,0.0001
325,26,-4.2379,speed,5.0,left,v,data_S1.csv,0.0001
326,27,1.8927,speed,1.0,right,v,data_S1.csv,0.0001
327,28,3.385,speed,3.0,right,v,data_S1.csv,0.0001
328,29,-2.403,speed,4.0,left,v,data_S1.csv,0.0001
329,30,4.2172,speed,4.0,right,v,data_S1.csv,0.0001
330,1,0.4722,,,,zr,data_S13.csv,0.0
331,2,1.0802,accuracy,,,a,data_S13.csv,0.0
332,3,0.8842,accuracy,1.0,right,v,data_S13.csv,0.0
333,4,0.344,accuracy,,,t0,data_S13.csv,0.0
334,5,0.0134,,,,d,data_S13.csv,0.0
335,6,0.4377,accuracy,,,szr,data_S13.csv,0.0
336,7,0.5279,,,,sv,data_S13.csv,0.0
337,8,0.0786,,,,st0,data_S13.csv,0.0
338,9,1.1545,accuracy,2.0,right,v,data_S13.csv,0.0
339,10,0.6876,accuracy,1.0,left,v,data_S13.csv,0.0
340,11,0.0504,accuracy,2.0,left,v,data_S13.csv,0.0
341,12,-1.2542,accuracy,3.0,left,v,data_S13.csv,0.0
342,13,-3.0433,accuracy,4.0,left,v,data_S13.csv,0.0
343,14,2.2603,accuracy,3.0,right,v,data_S13.csv,0.0
344,15,3.0742,accuracy,4.0,right,v,data_S13.csv,0.0
345,16,4.1008,accuracy,5.0,right,v,data_S13.csv,0.0
346,17,-3.2045,accuracy,5.0,left,v,data_S13.csv,0.0
347,18,0.9077,speed,,,a,data_S13.csv,0.0
